run,job_id,workflow,name,head,event,conclusion,started_at,completed_at,seconds,url,cancellation_reason
34060395250,101559769087,CI,SwiftPM smoke tests,650d5d606b025e3630d8358744adc40f00c85bd0,pull_request,success,2026-09-06T21:13:30Z,2026-09-06T21:14:31Z,61.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34060395250/job/101559769087,
34060395250,101559769124,CI,SwiftLint,650d5d606b025e3630d8358744adc40f00c85bd0,pull_request,success,2026-09-06T21:13:32Z,2026-09-06T21:14:21Z,49.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34060395250/job/101559769124,
34060395250,101559769134,CI,watchOS tests,650d5d606b025e3630d8358744adc40f00c85bd0,pull_request,success,2026-09-06T21:13:29Z,2026-09-06T21:19:08Z,339.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34060395250/job/101559769134,
34060395250,101559769173,CI,Strict concurrency,650d5d606b025e3630d8358744adc40f00c85bd0,pull_request,success,2026-09-06T21:13:30Z,2026-09-06T21:18:04Z,274.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34060395250/job/101559769173,
34060395250,101559769183,CI,iOS tests,650d5d606b025e3630d8358744adc40f00c85bd0,pull_request,,2026-09-06T21:13:30Z,,,https://github.com/HemSoft/codexbar-ios/actions/runs/34060395250/job/101559769183,
34054447047,101543620434,Usage history performance,Usage history Release budget,38206b6330b9bb26be44dc671217c2f3fe4dc58f,pull_request,failure,2026-09-06T19:18:03Z,2026-09-06T19:25:14Z,431.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447047/job/101543620434,
34054447017,101543783476,CI,SwiftPM smoke tests,38206b6330b9bb26be44dc671217c2f3fe4dc58f,pull_request,success,2026-09-06T19:19:07Z,2026-09-06T19:19:59Z,52.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447017/job/101543783476,
34054447017,101543783542,CI,SwiftLint,38206b6330b9bb26be44dc671217c2f3fe4dc58f,pull_request,success,2026-09-06T19:19:10Z,2026-09-06T19:19:45Z,35.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447017/job/101543783542,
34054447017,101543783563,CI,Strict concurrency,38206b6330b9bb26be44dc671217c2f3fe4dc58f,pull_request,success,2026-09-06T19:19:08Z,2026-09-06T19:22:16Z,188.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447017/job/101543783563,
34054447017,101543783580,CI,watchOS tests,38206b6330b9bb26be44dc671217c2f3fe4dc58f,pull_request,success,2026-09-06T19:20:06Z,2026-09-06T19:25:40Z,334.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447017/job/101543783580,
34054447017,101543783600,CI,iOS tests,38206b6330b9bb26be44dc671217c2f3fe4dc58f,pull_request,success,2026-09-06T19:19:52Z,2026-09-06T20:08:01Z,2889.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447017/job/101543783600,
34054447013,101543699257,Swift security,Swift security analysis,38206b6330b9bb26be44dc671217c2f3fe4dc58f,pull_request,cancelled,2026-09-06T19:18:35Z,2026-09-06T20:19:10Z,3635.0,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447013/job/101543699257,timeout
