conclusion,createdAt,databaseId,event,headBranch,headSha,name,startedAt,status,updatedAt,url,workflowName
,2026-09-06T21:13:22Z,34060395250,pull_request,codex/issue-319-google-metric-configuration,650d5d606b025e3630d8358744adc40f00c85bd0,CI,2026-09-06T21:13:22Z,in_progress,2026-09-06T21:13:33Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34060395250,CI
failure,2026-09-06T19:17:51Z,34054447047,pull_request,codex/issue-319-google-metric-configuration,38206b6330b9bb26be44dc671217c2f3fe4dc58f,Usage history performance,2026-09-06T19:17:51Z,completed,2026-09-06T19:25:14Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447047,Usage history performance
success,2026-09-06T19:17:51Z,34054447017,pull_request,codex/issue-319-google-metric-configuration,38206b6330b9bb26be44dc671217c2f3fe4dc58f,CI,2026-09-06T19:17:51Z,completed,2026-09-06T20:08:02Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447017,CI
cancelled,2026-09-06T19:17:51Z,34054447013,pull_request,codex/issue-319-google-metric-configuration,38206b6330b9bb26be44dc671217c2f3fe4dc58f,Swift security,2026-09-06T19:17:51Z,completed,2026-09-06T20:19:11Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34054447013,Swift security
cancelled,2026-09-06T18:54:51Z,34053210691,pull_request,codex/issue-319-google-metric-configuration,79d6f88761925413bb2e31d37568c877cb565102,CI,2026-09-06T18:54:51Z,completed,2026-09-06T19:19:02Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34053210691,CI
cancelled,2026-09-06T18:54:51Z,34053210685,pull_request,codex/issue-319-google-metric-configuration,79d6f88761925413bb2e31d37568c877cb565102,Swift security,2026-09-06T18:54:51Z,completed,2026-09-06T19:18:27Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34053210685,Swift security
success,2026-09-06T18:54:51Z,34053210636,pull_request,codex/issue-319-google-metric-configuration,79d6f88761925413bb2e31d37568c877cb565102,Usage history performance,2026-09-06T18:54:51Z,completed,2026-09-06T19:00:14Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34053210636,Usage history performance
cancelled,2026-09-06T18:28:00Z,34051802303,pull_request,codex/issue-319-google-metric-configuration,f317c2db98370dbac06fb72a82a0e094e9347a6f,Swift security,2026-09-06T18:28:00Z,completed,2026-09-06T18:55:40Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34051802303,Swift security
cancelled,2026-09-06T18:28:00Z,34051802299,pull_request,codex/issue-319-google-metric-configuration,f317c2db98370dbac06fb72a82a0e094e9347a6f,CI,2026-09-06T18:28:00Z,completed,2026-09-06T18:55:52Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34051802299,CI
failure,2026-09-06T18:28:00Z,34051802297,pull_request,codex/issue-319-google-metric-configuration,f317c2db98370dbac06fb72a82a0e094e9347a6f,Usage history performance,2026-09-06T18:28:00Z,completed,2026-09-06T18:33:51Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34051802297,Usage history performance
success,2026-09-06T17:43:37Z,34049498409,pull_request,codex/issue-319-google-metric-configuration,0d9db940403e2135aedabcea542a0af9d9b544e6,Usage history performance,2026-09-06T17:43:37Z,completed,2026-09-06T17:48:42Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34049498409,Usage history performance
success,2026-09-06T17:43:37Z,34049498386,pull_request,codex/issue-319-google-metric-configuration,0d9db940403e2135aedabcea542a0af9d9b544e6,Swift security,2026-09-06T17:43:37Z,completed,2026-09-06T18:23:53Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34049498386,Swift security
cancelled,2026-09-06T17:43:37Z,34049498378,pull_request,codex/issue-319-google-metric-configuration,0d9db940403e2135aedabcea542a0af9d9b544e6,CI,2026-09-06T18:25:24Z,completed,2026-09-06T18:28:20Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34049498378,CI
